,postcodes,names,distance,type_major,type_minor
443,CR0,"Royal Botanic Gardens (Royal Botanic Gardens, Kew)",20597,outdoors,Botanical Garden
444,CR0,Clapham Common,12130,outdoors,Park
445,CR0,Richmond Park,16901,outdoors,Park
446,CR0,St James's Park,16355,outdoors,Park
447,CR0,London Fields Lido,19986,outdoors,Pool
448,CR0,The London Eye,16111,outdoors,Scenic Lookout
449,CR0,Bushy Park,19915,outdoors,Park
450,CR0,St Katharine Docks,16102,outdoors,Harbor / Marina
451,CR0,Alexandra Park,26080,outdoors,Park
452,CR0,Hampstead Heath,23565,outdoors,Park
453,CR0,Primrose Hill,20788,outdoors,Park
454,CR0,Tower Bridge,15917,outdoors,Bridge
455,CR0,Regent's Park,19680,outdoors,Park
456,CR0,Greenwich Park,13553,outdoors,Park
457,CR0,Victoria Park,19428,outdoors,Park
458,CR0,Haven Green,23788,outdoors,Park
459,CR0,Highbury Fields,20987,outdoors,Park
460,CR0,Buckingham Palace,16332,outdoors,Palace
461,CR0,London Fields,19810,outdoors,Park
462,CR0,Tooting Bec Common,10168,outdoors,Park
463,CR0,Shoreditch Park,19189,outdoors,Park
464,CR0,Holland Park,18402,outdoors,Park
465,CR0,Clissold Park,22183,outdoors,Park
466,CR0,Finsbury Park,23248,outdoors,Park
467,CR0,Battersea Park,14525,outdoors,Park
468,CR0,Wimbledon Park,12986,outdoors,Park
469,CR0,Brockwell Park,10239,outdoors,Park
470,CR0,Chiswick House & Gardens,19231,outdoors,Historic Site
471,CR0,Nova,15945,outdoors,Pedestrian Plaza
472,CR0,Festival Terrace,16352,outdoors,Pedestrian Plaza
473,E2,Dishoom,1127,restaurants,Indian Restaurant
474,E2,BOXPARK Shoreditch,1143,restaurants,Shopping Mall
475,E2,Where Magic Happens,7882,restaurants,Caribbean Restaurant
476,E2,EL&N,7656,restaurants,Café
477,E2,L'ETO Caffè,8207,restaurants,Café
478,E2,EL&N,6686,restaurants,Café
479,E2,North Audley Cantine (NAC),6581,restaurants,French Restaurant
480,E2,The Coffee Bar,7713,restaurants,Coffee Shop
481,E2,JOE & THE JUICE,6566,restaurants,Juice Bar
