,PostDist,studio_metric,oneBed_metric,twoBed_metric,threeBed_metric,fourBed_metric,fiveBed_metric,distance_Metic,entertainment_Metric,grocery_Metric,nightlife_Metric,outdoors_Metric,restaurants_Metric
69,SW6,0.3964470351479824,0.27432565157359823,0.24948573028328452,0.38037640685564844,0.45829479038334975,0.004893122542146345,0.08714693992469397,0.4423031188956439,0.3622055053480877,0.5399164136122628,0.3166321638397178,0.8597003832554356
70,SW7,0.6098551465651121,0.29308596348584526,0.41884955678831154,0.4504947839845531,0.2885117651361268,0.24823794137514144,0.10242486575982726,0.3652548211574903,0.33868078286477765,0.47244317069107444,0.294524711316403,0.7439954870537193
63,SW9,0.7556497927610198,0.3751886030485815,0.572959509472051,0.6412259397542321,0.55846149647463,0.25433708165595553,0.03842924371437473,0.19603337298168647,0.1733017557746451,0.1859018440453488,0.12662746495422275,0.2521280447030154
82,TW1,0.3685083186426268,0.0575566285886808,0.10436144696265115,0.14389897041209743,0.25565153195389945,0.008703759243810765,0.13721738785837778,0.36460979689096196,0.34125423370989283,0.5083108622541734,0.292135480467957,0.843656166556246
81,TW11,0.5964612686458545,0.40005911065335187,0.5810925644916543,0.4610290197793786,0.39460071908986877,0.3015027834712599,0.01758859098433232,0.12863169692299667,0.11061194653632075,0.11292546892983193,0.06449620565302056,0.14905826625701382
80,TW7,0.5964612686458545,0.38693777388255923,0.5491036386353101,0.6284325248423978,0.6771188504153725,0.34234572805922475,0.017356990442696712,0.12856998398762345,0.1124301028208283,0.11526349815924838,0.06304703299197356,0.1489566468313737
78,TW8,0.3276561083594992,0.35454816779970166,0.7723179166648757,0.5392248642576297,0.6034080301248346,0.361962186354078,0.005657636907974092,0.06708249493962265,0.05215126989199298,0.05336462941517886,0.013263037134342487,0.07615287242575536
79,TW9,0.5964612686458545,0.35454816779970166,0.9957716868993425,0.9297332794503941,0.45829479038334975,0.24823794137514144,0.010988655267601986,0.09740014288666446,0.08284711258244867,0.08408216409710745,0.036781340843382054,0.1105878183597824
97,W1,0.3857101799849114,0.21748969124006842,0.20231247081825615,0.22321233837046273,0.12838207748650027,0.027193324876409054,0.303551652494557,0.3242054658599899,0.2928682614887165,0.38432723945405856,0.24454174763333023,0.5813059208963596
98,W10,0.5964612686458545,0.3004994975025125,0.41653883544610576,0.4441558441558442,0.2549739256901416,0.09656920029717236,0.08116492409837585,0.30640605009680644,0.29173412286361877,0.3974608383135364,0.23086196169406256,0.5519238536180412
96,W11,0.6482724092338645,0.35639247834129595,0.41333186465589394,0.392228812707349,0.31027435989599844,0.21832574319386944,0.0767026581337045,0.25409081954696144,0.22622271237696337,0.2645753467715143,0.17259147611011885,0.3564508791731489
91,W12,0.35070099159253754,0.2131310743040605,0.16588517678883452,0.46438197920677715,0.40523467721256884,0.24823794137514144,0.07788280894660167,0.42578538017713063,0.35002640586018385,0.5689059989224329,0.30554109793669904,0.905475569296525
84,W14,0.49403571218450315,0.22374398938816117,0.31746090763535645,0.2719484444284545,0.18953471941428657,0.24823794137514144,0.10594971212463092,0.2870067304987871,0.2644510201878749,0.33430911684625153,0.20707261148076359,0.4627483003312399
90,W1B,0.5964612686458545,0.1918200408997955,0.27173524948674466,0.3208775510204082,0.45829479038334975,0.24823794137514144,0.07004990370969093,0.43097077452236543,0.3572789391826259,0.5813087418798879,0.3079346013831966,0.9019446141309219
94,W1J,0.22705456497289986,0.4072949044412829,0.5667473929992899,0.6334959291273627,0.38263036293782027,0.269312220762948,0.035448934078073646,0.1930026647603609,0.16845875459024892,0.1804447138642006,0.11535888852377382,0.23469507529771208
86,W1K,0.6183011395460651,0.29924884034116417,0.44922187214030057,0.4560140870507494,0.3413234472971991,0.22680265769792118,0.13335114796009181,0.2882659101372512,0.25897266971735167,0.31903711264862056,0.20738137289072547,0.45078629351215116
92,W1T,0.5490748239776113,0.24588997262550547,0.3378824687402748,0.26704525288376224,0.14429631787747116,0.24823794137514144,0.23247146714186123,0.35806863503430675,0.3292160746895668,0.47547397222456433,0.2842984275590331,0.7816581267810315
93,W1W,0.8200614664801266,0.45563674729397063,0.6065275431614512,0.6682264065847334,0.6935028551587916,0.3574211427401376,0.032912258467995475,0.1867276828344134,0.17219930714570011,0.1864636560626929,0.1110054593328528,0.2365666869031451
85,W2,0.6202492386032796,0.3776673310726274,0.5597662889637955,0.7286688035054976,0.4770134995004951,0.24823794137514144,0.0685228247509137,0.25089214746156496,0.2303987392858268,0.27443771555914187,0.1701025514821591,0.36165404378204635
83,W3,0.5964612686458545,0.3938650306748467,0.5118814170898527,0.566399765647886,0.45829479038334975,0.24823794137514144,0.07014674273814368,0.26498816469359376,0.2497522145834363,0.3107398570283263,0.186256991506717,0.41219969498681086
88,W4,0.3418744893874097,0.07982295743117382,0.09583528205589037,0.20842829674612662,0.1557886039782661,0.24823794137514144,0.11779195476682082,0.38746061242206675,0.3516063141361291,0.5664494798268014,0.3186250961961974,1.0
89,W5,0.5964612686458545,0.0,0.0,0.0795562411010916,0.0,0.0,0.12912351604813854,0.38117759544422103,0.34282979372007627,0.5514146058572335,0.3111032703768041,0.9760734633730893
87,W6,0.508648666985801,0.24916614360822584,0.09853129999519361,0.5392248642576297,0.45829479038334975,0.24823794137514144,0.0828164111426432,0.4271074520966577,0.34930491430787647,0.5677381545685392,0.3068052754091454,0.9210431708603136
95,W8,0.5892397714185765,0.3273253427900955,0.5820065767771014,0.5880879534680429,0.7423916103336259,0.2590045191460792,0.019962151941549804,0.1415245507592561,0.12920884652037798,0.1341869112076848,0.07322295291576031,0.16883645520876603
99,W9,0.5964612686458545,0.22104142371850125,0.31746090763535645,0.42926716141001864,0.4008160963226632,0.2589303652329549,0.05808781222255281,0.42915868047443473,0.3625116092446462,0.5835497772733798,0.3032101393766453,0.8393495026297371
105,WC1B,,,,,,,,,,,,
100,WC1N,0.5136838424229524,0.23018301364189378,0.2765816794122508,0.3280150310378475,0.45829479038334975,0.24823794137514144,0.04900347591384052,0.4094296751499261,0.35668486088720275,0.5721268246376703,0.2900651832763895,0.7560440702326966
101,WC2A,0.5964612686458545,0.03949800779207388,0.042093743477500556,0.1977873254564984,0.45829479038334975,0.24823794137514144,0.050158400400753825,0.42948004925011996,0.36817098863513564,0.5792467503541684,0.2979285618906632,0.7761822333823328
103,WC2B,0.5964612686458545,0.23585548738922976,0.2439306984081802,0.2843841273975406,0.45829479038334975,0.24823794137514144,0.06206592873382409,0.44740612626024456,0.37114023214309433,0.5817067173179578,0.31298589629145235,0.8705475308808229
102,WC2E,0.5964612686458545,0.22283939617646312,0.2513672332494832,0.30272759199282007,0.45829479038334975,0.24823794137514144,0.05661254489568597,0.4404792727613295,0.36990981637410036,0.5829514002675088,0.3066920053411878,0.8329308143206965
104,WC2H,0.4099904543118188,0.16939102474642312,0.2973459709280157,0.27731736701836374,0.45829479038334975,0.24823794137514144,0.06539308976182208,0.4435749294534884,0.3679149971454686,0.5873669548568622,0.3135287915160475,0.8971847203667825
